                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4326,                 2.3839,                 1.2514,                0.37308,                 0.3732,                0.32573,                0.19629,                 1.4832,                 1.9011,                 1.2909,             0.00041633,             0.00041633,             0.00041633
                      2,                 1.4886,                  1.861,                 1.3071,                0.41533,                0.36959,                0.35757,                0.22173,                  1.482,                 1.7029,                 1.2894,             0.00079177,             0.00079177,             0.00079177
                      3,                 1.5004,                 1.7866,                 1.3171,                0.47959,                0.38728,                0.39516,                  0.242,                 1.4836,                 1.6352,                 1.2884,              0.0011259,              0.0011259,              0.0011259
                      4,                  1.468,                 1.7227,                 1.2985,                0.49986,                0.36284,                0.39463,                0.24078,                 1.4369,                 1.5936,                 1.2602,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.4335,                 1.6518,                 1.2789,                0.52977,                0.42536,                0.43491,                0.26883,                  1.403,                 1.4552,                 1.2416,              0.0010025,              0.0010025,              0.0010025
                      6,                 1.4017,                 1.5906,                 1.2621,                 0.5694,                0.42456,                0.46162,                 0.2843,                 1.3787,                 1.4436,                  1.238,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.3792,                 1.5552,                 1.2486,                0.58289,                0.43097,                0.45807,                  0.295,                 1.3676,                 1.4061,                 1.2184,             0.00087875,             0.00087875,             0.00087875
                      8,                  1.363,                 1.5085,                 1.2378,                0.58142,                0.46629,                0.49601,                0.31692,                 1.3235,                 1.3391,                 1.1958,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.3388,                 1.4748,                 1.2218,                0.55981,                0.49331,                0.50356,                0.31827,                 1.3142,                 1.3088,                 1.1888,               0.000755,               0.000755,               0.000755
                     10,                  1.322,                 1.4345,                 1.2139,                0.62295,                0.48429,                0.52437,                 0.3393,                 1.2902,                 1.2861,                 1.1758,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.3522,                 1.4225,                 1.2223,                0.58666,                0.47629,                  0.513,                0.33663,                 1.3066,                 1.2785,                 1.1858,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.3315,                 1.3708,                 1.2095,                0.59744,                0.47395,                0.53244,                0.34559,                 1.2873,                 1.2569,                 1.1726,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.3173,                  1.358,                 1.2061,                0.59387,                0.49655,                0.53322,                0.34647,                 1.2606,                 1.2369,                 1.1653,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.2998,                 1.3143,                 1.1896,                0.65308,                  0.495,                 0.5459,                0.35632,                 1.2553,                 1.2111,                 1.1586,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.2813,                 1.2777,                  1.183,                 0.6378,                0.50018,                0.55609,                0.36697,                 1.2504,                 1.1919,                 1.1505,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.2664,                  1.252,                 1.1712,                0.63683,                0.51051,                0.56387,                 0.3771,                 1.2309,                 1.1613,                 1.1389,             0.00032188,             0.00032188,             0.00032188
                     17,                   1.25,                 1.2192,                 1.1607,                0.60384,                0.53713,                0.56118,                0.37909,                 1.2289,                 1.1661,                 1.1354,                0.00026,                0.00026,                0.00026
                     18,                 1.2294,                 1.1887,                 1.1481,                0.61015,                0.54244,                0.57804,                0.38459,                 1.2135,                 1.1469,                 1.1335,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.2174,                 1.1707,                 1.1423,                0.61388,                0.54923,                0.58015,                0.38673,                 1.2043,                 1.1382,                 1.1202,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.2067,                 1.1403,                 1.1348,                0.61342,                0.54832,                0.57959,                0.38914,                 1.2063,                 1.1309,                 1.1221,             7.4375e-05,             7.4375e-05,             7.4375e-05
