                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4353,                 2.3372,                 1.2568,                0.44629,                 0.3667,                0.35967,                0.21855,                 1.3674,                 1.7422,                 1.2239,              0.0033311,              0.0033311,              0.0033311
                      2,                  1.449,                 1.7961,                 1.2706,                0.41243,                0.32518,                0.30318,                0.17684,                 1.4484,                 1.6973,                 1.3018,              0.0066425,              0.0066425,              0.0066425
                      3,                 1.5294,                 1.7724,                 1.3302,                 0.3743,                0.30008,                0.27571,                 0.1603,                 1.5239,                 1.6443,                 1.3438,              0.0099318,              0.0099318,              0.0099318
                      4,                 1.5622,                  1.729,                  1.356,                0.45309,                 0.3416,                0.33841,                0.19303,                 1.4716,                 1.4786,                 1.3275,               0.009901,               0.009901,               0.009901
                      5,                 1.5203,                 1.6322,                 1.3309,                0.45504,                0.35176,                 0.3402,                0.20509,                 1.4267,                 1.4372,                 1.3055,               0.009868,               0.009868,               0.009868
                      6,                 1.4762,                 1.5517,                 1.3053,                0.45528,                0.39179,                0.37636,                0.23146,                 1.4094,                 1.3438,                  1.295,               0.009835,               0.009835,               0.009835
                      7,                 1.4544,                  1.499,                 1.2936,                0.50317,                0.35494,                0.36896,                0.23339,                 1.3738,                 1.2995,                 1.2679,               0.009802,               0.009802,               0.009802
                      8,                 1.4319,                 1.4586,                 1.2795,                0.49588,                0.41755,                0.40901,                0.25571,                 1.3321,                 1.2623,                 1.2466,               0.009769,               0.009769,               0.009769
                      9,                 1.4219,                 1.4284,                 1.2754,                0.51482,                0.40389,                0.42647,                0.26712,                 1.3211,                 1.1946,                 1.2379,               0.009736,               0.009736,               0.009736
                     10,                 1.4013,                 1.3932,                 1.2588,                0.46093,                0.44718,                0.43048,                0.26874,                  1.304,                 1.1773,                 1.2349,               0.009703,               0.009703,               0.009703
                     11,                 1.3926,                 1.3783,                 1.2565,                 0.5127,                 0.4525,                0.44909,                0.28083,                 1.2812,                 1.1741,                 1.2178,                0.00967,                0.00967,                0.00967
                     12,                 1.3808,                 1.3573,                 1.2477,                0.53161,                0.43441,                0.44582,                0.28766,                 1.2703,                 1.1472,                 1.2077,               0.009637,               0.009637,               0.009637
                     13,                 1.3731,                  1.339,                 1.2434,                0.55904,                0.43887,                 0.4651,                0.29663,                 1.2629,                 1.1244,                 1.2078,               0.009604,               0.009604,               0.009604
                     14,                  1.359,                 1.3283,                 1.2383,                0.55404,                 0.4869,                 0.4699,                0.30192,                 1.2624,                 1.1118,                 1.2041,               0.009571,               0.009571,               0.009571
                     15,                 1.3562,                 1.3243,                 1.2376,                0.54487,                0.46144,                0.46964,                0.30518,                 1.2559,                 1.0994,                 1.1998,               0.009538,               0.009538,               0.009538
                     16,                 1.3514,                 1.3131,                 1.2326,                0.56423,                 0.4747,                0.48815,                0.31264,                 1.2351,                  1.073,                 1.1879,               0.009505,               0.009505,               0.009505
                     17,                 1.3462,                 1.2974,                 1.2277,                0.57112,                 0.4625,                0.49188,                0.31576,                 1.2307,                 1.0752,                 1.1853,               0.009472,               0.009472,               0.009472
                     18,                 1.3358,                 1.2812,                 1.2216,                0.56553,                0.47733,                0.50011,                 0.3214,                 1.2256,                 1.0532,                 1.1793,               0.009439,               0.009439,               0.009439
                     19,                 1.3314,                 1.2733,                 1.2191,                0.55201,                0.48614,                0.49302,                0.31892,                 1.2146,                 1.0416,                 1.1719,               0.009406,               0.009406,               0.009406
                     20,                 1.3283,                 1.2646,                 1.2162,                0.55907,                0.50069,                0.50216,                0.33023,                 1.2109,                 1.0259,                 1.1672,               0.009373,               0.009373,               0.009373
                     21,                  1.323,                 1.2658,                 1.2164,                0.55996,                0.51655,                0.50399,                0.32986,                 1.2036,                 1.0278,                 1.1661,                0.00934,                0.00934,                0.00934
                     22,                 1.3188,                 1.2437,                 1.2111,                0.58425,                0.51565,                0.51594,                 0.3371,                 1.2043,                 1.0132,                 1.1638,               0.009307,               0.009307,               0.009307
                     23,                 1.3206,                 1.2523,                 1.2109,                0.56732,                0.51294,                0.51699,                0.33745,                 1.2008,                 1.0137,                 1.1625,               0.009274,               0.009274,               0.009274
                     24,                  1.309,                  1.236,                 1.2056,                0.58193,                0.52316,                0.52525,                 0.3483,                  1.193,                 1.0062,                 1.1597,               0.009241,               0.009241,               0.009241
                     25,                 1.3095,                 1.2309,                 1.2061,                0.60956,                0.49437,                0.52776,                0.34859,                 1.1891,                0.99846,                 1.1539,               0.009208,               0.009208,               0.009208
                     26,                  1.303,                 1.2229,                 1.2023,                0.58919,                0.51238,                0.53175,                 0.3526,                 1.1894,                0.99037,                 1.1559,               0.009175,               0.009175,               0.009175
                     27,                  1.303,                 1.2177,                 1.2023,                0.58731,                 0.5215,                0.53606,                0.35504,                 1.1851,                0.98915,                  1.152,               0.009142,               0.009142,               0.009142
                     28,                 1.2967,                 1.2095,                 1.1951,                0.58638,                0.50372,                0.53298,                0.35432,                  1.184,                0.98329,                 1.1536,               0.009109,               0.009109,               0.009109
                     29,                 1.2969,                 1.2098,                  1.197,                0.57156,                0.52464,                0.54039,                0.36026,                 1.1812,                0.98202,                 1.1503,               0.009076,               0.009076,               0.009076
                     30,                 1.2929,                 1.2045,                 1.1947,                0.63789,                0.50789,                0.54398,                0.36329,                 1.1798,                0.97267,                 1.1516,               0.009043,               0.009043,               0.009043
                     31,                 1.2905,                 1.1979,                 1.1928,                0.64689,                0.51028,                0.54149,                0.36461,                 1.1755,                0.96748,                 1.1499,                0.00901,                0.00901,                0.00901
